Habitat Description,Good,Fairly Good,Moderate,Fairly Poor,Poor,Condition Assessment N/A,N/A - Other
Cropland - Arable field margins cultivated annually,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Arable field margins game bird mix,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Arable field margins pollen and nectar,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Arable field margins tussocky,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Cereal crops,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Winter stubble,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Horticulture,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Intensive orchards,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Non-cereal crops,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Temporary grass and clover leys,NaN,NaN,NaN,NaN,NaN,1,NaN
Grassland - Traditional orchards,3,2.5,2,1.5,1,NaN,NaN
Grassland - Bracken,NaN,NaN,NaN,NaN,NaN,1,NaN
Grassland - Floodplain wetland mosaic and CFGM,3,2.5,2,1.5,1,NaN,NaN
Grassland - Lowland calcareous grassland,3,2.5,2,1.5,1,NaN,NaN
Grassland - Lowland dry acid grassland,3,2.5,2,1.5,1,NaN,NaN
Grassland - Lowland meadows,3,2.5,2,1.5,1,NaN,NaN
Grassland - Modified grassland,3,2.5,2,1.5,1,NaN,NaN
Grassland - Other lowland acid grassland,3,2.5,2,1.5,1,NaN,NaN
Grassland - Other neutral grassland,3,2.5,2,1.5,1,NaN,NaN
Grassland - Tall herb communities (H6430),3,2.5,2,1.5,1,NaN,NaN
Grassland - Upland acid grassland,3,2.5,2,1.5,1,NaN,NaN
Grassland - Upland calcareous grassland,3,2.5,2,1.5,1,NaN,NaN
Grassland - Upland hay meadows,3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Blackthorn scrub,3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Bramble scrub,NaN,NaN,NaN,NaN,NaN,1,NaN
Heathland and shrub - Gorse scrub,3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Hawthorn scrub,3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Hazel scrub,3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Lowland heathland,3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Mixed scrub,3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Mountain heaths and willow scrub,3,2.5,2,1.5,1,NaN,NaN
Heathland and shrub - Rhododendron scrub,NaN,NaN,NaN,NaN,NaN,1,NaN
