Start condition,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Condition Assessment N/A,Condition Assessment N/A,Condition Assessment N/A,Condition Assessment N/A,Poor,Poor,Poor,Poor,Fairly Poor,Fairly Poor,Fairly Poor,Moderate,Moderate,Fairly Good,Good
Target condition,N/A - Other,Condition Assessment N/A,Poor,Fairly Poor,Moderate,Fairly Good,Good,Fairly Poor,Moderate,Fairly Good,Good,Fairly Poor,Moderate,Fairly Good,Good,Moderate,Fairly Good,Good,Fairly Good,Good,Good,Good
Habitat,Lower Distinctiveness Habitat - N/A - Other,Lower Distinctiveness Habitat - Condition Assessment N/A,Lower Distinctiveness Habitat - Poor,Lower Distinctiveness Habitat - Fairly Poor,Lower Distinctiveness Habitat - Moderate,Lower Distinctiveness Habitat - Fairly Good,Lower Distinctiveness Habitat - Good,Condition Assessment N/A - Fairly Poor,Condition Assessment N/A - Moderate,Condition Assessment N/A - Fairly Good,Condition Assessment N/A - Good,Poor - Fairly Poor,Poor - Moderate,Poor - Fairly Good,Poor - Good,Fairly Poor - Moderate,Fairly Poor - Fairly Good,Fairly Poor - Good,Moderate - Fairly Good,Moderate - Good,Fairly Good - Good,Good - Good
Cropland - Arable field margins cultivated annually,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Arable field margins game bird mix,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Arable field margins pollen and nectar,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Arable field margins tussocky,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Cereal crops,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Winter stubble,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Horticulture,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Intensive orchards,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Non-cereal crops,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Temporary grass and clover leys,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Grassland - Traditional orchards,NaN,NaN,5,10,20,25,30,NaN,NaN,NaN,NaN,5,15,20,25,10,15,20,5,10,5,NaN
Grassland - Bracken,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Grassland - Floodplain wetland mosaic and CFGM,NaN,NaN,5,8,10,12,15,NaN,NaN,NaN,NaN,8,10,12,15,2,4,7,2,4,3,NaN
Grassland - Lowland calcareous grassland,NaN,NaN,10,15,20,25,30,NaN,NaN,NaN,NaN,5,10,15,20,5,10,15,5,10,5,NaN
Grassland - Lowland dry acid grassland,NaN,NaN,10,15,20,25,30+,NaN,NaN,NaN,NaN,5,15,20,30+,8,15,25,10,20,10,NaN
Grassland - Lowland meadows,NaN,NaN,5,8,10,12,15,NaN,NaN,NaN,NaN,4,8,11,15,4,8,11,4,8,4,NaN
