Labelling column,Definitive UKHAB / EUNIS/NE Code,Level 1,Level 2 code,Level 2 Label,Level 3 code,Level 3 Label,Level 4 code,"Level 4 Label
 (Priority Habitats in Bold)",Distinctiveness Category,Distinctiveness Score,Trading Rules,Technical Difficulty Creation,Multiplier,Technical Difficulty Enhancement,Multiplier,Basic Description,Condition Assessment Notes,Irreplaceable
Cropland - Arable field margins cultivated annually,c1a7,Terrestrial,c,Cropland,c1,Arable and horticulture,c1a,Arable field margins,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Cropland - Arable field margins game bird mix,c1a8,Terrestrial,,Cropland,c1,Arable and horticulture,c1a,Arable field margins,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Cropland - Arable field margins pollen and nectar,c1a6,Terrestrial,,Cropland,c1,Arable and horticulture,c1a,Arable field margins,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Cropland - Arable field margins tussocky,c1a5,Terrestrial,,Cropland,c1,Arable and horticulture,c1a,Arable field margins,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Cropland - Cereal crops,c1c,Terrestrial,,Cropland,c1,Arable and horticulture,c1c,Cereal crops,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Cropland - Winter stubble,c1c5,Terrestrial,,Cropland,c1,Arable and horticulture,c1c,Cereal crops,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Cropland - Horticulture,c1f,Terrestrial,,Cropland,c1,Arable and horticulture,c1f,Horticulture,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Cropland - Intensive orchards,c1e,Terrestrial,,Cropland,c1,Arable and horticulture,c1e,Intensive orchards,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Cropland - Non-cereal crops,c1d,Terrestrial,,Cropland,c1,Arable and horticulture,c1d,Non-cereal crops,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Cropland - Temporary grass and clover leys,c1b,Terrestrial,,Cropland,c1,Arable and horticulture,c1b,Temporary grass and clover leys,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Grassland - Traditional orchards,27,Terrestrial,,Woodlands and Trees,,Traditional orchards,,Traditional orchards,High,6,Same habitat required =,Low,1,Medium,0.67,,,No
Grassland - Bracken,g1c,Terrestrial,g,Grassland,g1,Acid grassland,g1c,Bracken,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Grassland - Floodplain wetland mosaic and CFGM,NE0011,Terrestrial,,,,Floodplain Wetland Mosaic,,Floodplain Wetland Mosaic,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Grassland - Lowland calcareous grassland,g2a,Terrestrial,g,Grassland,g2,Calcareous grassland,g2a,Lowland calcareous grassland,High,6,Same habitat required =,High,0.33,High,0.33,,,No
Grassland - Lowland dry acid grassland,g1a,Terrestrial,g,Grassland,g1,Acid grassland,g1a,Lowland dry acid grassland,V.High,8,Same habitat required – bespoke compensation option ⚠,High,0.33,High,0.33,,,No
Grassland - Lowland meadows,g3a,Terrestrial,g,Grassland,g3,Neutral grassland,g3a,Lowland meadows,V.High,8,Same habitat required – bespoke compensation option ⚠,High,0.33,Medium,0.67,,,No
Grassland - Modified grassland,g4,Terrestrial,g,Grassland,g4,Modified grassland,Carried forward,Modified grassland,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Grassland - Other lowland acid grassland,g1d,Terrestrial,g,Grassland,g1,Acid grassland,g1d,Other lowland acid grassland,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Grassland - Other neutral grassland,g3c,Terrestrial,g,Grassland,g3,Neutral grassland,g3c,Other neutral grassland,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Grassland - Tall herb communities (H6430),s1a9,Terrestrial,s,Sparsely vegetated land,s1,Inland rock,,Tall herb communities,High,6,Same habitat required =,High,0.33,High,0.33,,,No
Grassland - Upland acid grassland,g1b,Terrestrial,g,Grassland,g1,Acid grassland,g1b,Upland acid grassland,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Grassland - Upland calcareous grassland,g2b,Terrestrial,g,Grassland,g2,Calcareous grassland,g2b,Upland calcareous grassland,High,6,Same habitat required =,High,0.33,High,0.33,,,No
Grassland - Upland hay meadows,g3b,Terrestrial,g,Grassland,g3,Neutral grassland,g3b,Upland hay meadows,V.High,8,Same habitat required – bespoke compensation option ⚠,High,0.33,Medium,0.67,,,No
Heathland and shrub - Blackthorn scrub,h3a,Terrestrial,h,Heathland and shrub,h3,Dense scrub,h3a,Blackthorn scrub,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Heathland and shrub - Bramble scrub,h3d,Terrestrial,,Heathland and shrub,h3,Dense scrub,h3d,Bramble scrub,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Heathland and shrub - Gorse scrub,h3e,Terrestrial,,Heathland and shrub,h3,Dense scrub,h3e,Gorse scrub,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Heathland and shrub - Hawthorn scrub,h3f,Terrestrial,,Heathland and shrub,h3,Dense scrub,h3f,Hawthorn scrub,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Heathland and shrub - Hazel scrub,h3b,Terrestrial,,Heathland and shrub,h3,Dense scrub,h3b,Hazel scrub,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Medium,0.67,Low,1,,,No
Heathland and shrub - Lowland heathland,h1a,Terrestrial,,Heathland and shrub,h1,Dwarf shrub heath,h1a,Lowland Heathland,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Heathland and shrub - Mixed scrub,h3h,Terrestrial,,Heathland and shrub,h3,Dense scrub,h3h,Mixed scrub,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Low,1,,,No
Heathland and shrub - Mountain heaths and willow scrub,h1c,Terrestrial,,Heathland and shrub,h1,Dwarf shrub heath,h1c,Mountain heaths and willow scrub,V.High,8,Same habitat required – bespoke compensation option ⚠,High,0.33,High,0.33,,,No
Heathland and shrub - Rhododendron scrub,h3g,Terrestrial,,Heathland and shrub,h3,Dense scrub,h3g,Rhododendron scrub,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Heathland and shrub - Dunes with sea buckthorn (H2160),h3c5,Terrestrial,,Heathland and shrub,h3,Dense scrub,h3c,Sea buckthorn scrub,High,6,Same habitat required =,Medium,0.67,Low,1,,,No
Heathland and shrub - Other sea buckthorn scrub,h3c6,Terrestrial,,Heathland and shrub,h3,Dense scrub,h3c,Other Sea buckthorn scrub,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Heathland and shrub - Willow scrub,h3j,Terrestrial,,Heathland and shrub,h3,Dense scrub,h3j,Willow scrub,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Medium,0.67,Low,1,,,No
Heathland and shrub - Upland heathland,h1b,Terrestrial,,Heathland and shrub,h1,Dwarf shrub heath,h1b,Upland Heathland,High,6,Same habitat required =,Medium,0.67,Medium,0.67,,,No
Lakes - Aquifer fed naturally fluctuating water bodies,r1d,Freshwater,r,Rivers and lakes,r1,Standing open water and canals,r1d,Aquifer fed naturally fluctuating water bodies,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,High,0.33,,,No
Lakes - Ornamental lake or pond,46,Terrestrial,,Freshwater,,Built-up areas and gardens,,Ornamental lake or pond,Low,2,Same distinctiveness or better habitat required ≥,Low,1,High,0.33,,,No
Lakes - High alkalinity lakes,NE0001,Freshwater,,,,,,,High,6,Same habitat required =,High,0.33,High,0.33,,,No
Lakes - Low alkalinity lakes,NE0002,Freshwater,,,,,,,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Lakes - Marl lakes,NE0003,Freshwater,,,,,,,High,6,Same habitat required =,High,0.33,High,0.33,,,No
Lakes - Moderate alkalinity lakes,NE0004,Freshwater,,,,,,,High,6,Same habitat required =,High,0.33,High,0.33,,,No
Lakes - Peat lakes,NE0005,Freshwater,,,,,,,High,6,Same habitat required =,High,0.33,High,0.33,,,No
Lakes - Ponds (priority habitat),NE0006,Freshwater,,,,,,,High,6,Same habitat required =,Medium,0.67,Medium,0.67,,,No
Lakes - Ponds (non-priority habitat),41,Freshwater,,Freshwater,,,,,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Low,1,Medium,0.67,,,No
Lakes - Reservoirs,45,Freshwater,,Freshwater,,,,,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Medium,0.67,Medium,0.67,,,No
Lakes - Temporary lakes ponds and pools (H3170),NE0013,Freshwater,,,,,,,High,6,Same habitat required =,Medium,0.67,Medium,0.67,,,No
Sparsely vegetated land - Calaminarian grasslands,s1c,Freshwater,s,Sparsely vegetated land,,Inland rock,,Calaminarian grasslands,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,Medium,0.67,,,No
Sparsely vegetated land - Coastal sand dunes,s3a,Freshwater,s,Sparsely vegetated land,,Supralittoral Sediment,,,High,6,Same habitat required =,Very High,0.1,Medium,0.67,,,Yes
Sparsely vegetated land - Coastal vegetated shingle,s3b,Terrestrial,s,Sparsely vegetated land,,Supralittoral Sediment,s1c,,High,6,Same habitat required =,Very High,0.1,Medium,0.67,,,No
Sparsely vegetated land - Ruderal/Ephemeral,81,Terrestrial,,Built environment,,,,Ephemeral,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Medium,0.67,,,No
Sparsely vegetated land - Tall forbs,16,Terrestrial,,Grasslands and heathlands,,,,Ephemeral,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Medium,0.67,,,No
Sparsely vegetated land - Inland rock outcrop and scree habitats,s1a,Terrestrial,s,Sparsely vegetated land,s1,Inland rock,s1a,Inland rock outcrop and scree habitats,High,6,Same habitat required =,High,0.33,Low,1,,,No
Sparsely vegetated land - Limestone pavement,s1b,Terrestrial,s,Sparsely vegetated land,,Inland rock,s1b,Limestone pavement,V.High,8,Same habitat required – bespoke compensation option ⚠,Very High,0.1,Medium,0.67,,,Yes
Sparsely vegetated land - Maritime cliff and slopes,s2a,Terrestrial,s,Sparsely vegetated land,s2,Supralittoral Rock,s2a,Maritime cliff and slopes,High,6,Same habitat required =,High,0.33,Medium,0.67,,,No
Sparsely vegetated land - Other inland rock and scree,s1d,Terrestrial,s,Sparsely vegetated land,,Inland rock,s1d,Other inland rock and scree,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Medium,0.67,Medium,0.67,,,No
Urban - Allotments,616,Terrestrial,,Built environment,,Built-up areas and gardens,,Allotments,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
"Urban - Artificial unvegetated, unsealed surface",u1c,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1c,"Artificial unvegetated, unsealed surface",V.Low,0,Compensation Not Required,Low,1,Low,1,,,No
Urban - Bioswale,849,Terrestrial,,Built environment,,Built-up areas and gardens,,Bioswale,Low,2,Same distinctiveness or better habitat required ≥,Medium,0.67,Low,1,,,No
Urban - Intensive green roof,88,Terrestrial,,Built environment,,Built-up areas and gardens,,,Low,2,Same distinctiveness or better habitat required ≥,Low,1,Low,1,,,No
Urban - Built linear features,u1e,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1e,Built linear features,V.Low,0,Compensation Not Required,Low,1,Low,1,,,No
Urban - Cemeteries and churchyards,90,Terrestrial,,Built environment,,Built-up areas and gardens,,Cemeteries and churchyards,Medium,4,Same broad habitat or a higher distinctiveness habitat required (≥),Medium,0.67,Low,1,,,No
